,label,level,tag,text,url
70,None,10,i,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
71,None,8,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
72,None,9,i,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
73,None,6,nav,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
74,None,7,ul,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
75,None,8,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
76,None,9,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
77,None,8,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
78,None,9,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
79,None,7,ul,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
80,None,8,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
81,None,9,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
82,None,10,i,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
83,None,9,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
84,None,10,form,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
85,None,11,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
86,None,12,div,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
87,None,12,input,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
88,None,12,button,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
89,None,13,i,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
90,None,10,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
91,None,11,i,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
92,None,4,nav,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
93,None,5,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
94,None,6,ul,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
95,None,7,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
96,None,8,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
97,None,7,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
98,None,8,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
99,None,7,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
100,None,8,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
101,None,7,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
102,None,8,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
103,None,7,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
104,None,8,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
105,None,7,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
106,None,8,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
107,None,7,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
108,None,8,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
109,None,7,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
110,None,8,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
111,None,7,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
112,None,8,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
113,None,3,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
114,None,4,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
115,None,5,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
116,None,5,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
117,None,6,span,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
118,None,5,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
119,None,3,main,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
120,None,4,section,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
121,None,5,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
122,None,6,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
123,None,6,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
124,None,7,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
125,None,8,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
126,None,9,span,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
127,None,7,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
128,None,8,i,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
129,None,8,ul,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
130,None,9,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
131,None,10,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
132,None,9,li,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
133,None,10,a,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
134,None,7,article,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
135,None,8,header,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
136,None,9,h1,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
137,None,9,h2,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
138,None,8,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
139,None,9,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
140,None,10,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
141,None,11,img,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
142,None,11,div,,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
143,None,8,div,NOT LEAF,https://www.snopes.com/fact-check/hillary-clinton-smash-phone-hammer/
